SalePrice,quality_area,OverallQual,GrLivArea,price_diff,GarageCars,area_per_room,TotalBathrooms,Price_per_sqft,renovation_age,rooms_per_area,house_age
208500,11970,7,1710,10534.226666666655,2,190.0,2.5,121.9298245614035,5,0.004675628287551139,5
181500,7572,6,1262,-57272.727272727265,2,180.28571428571428,2.0,143.81933438985737,31,0.004750593824228029,31
223500,12502,7,1786,25534.226666666655,2,255.14285714285714,2.5,125.13997760358343,6,0.003357582540570789,7
140000,12019,7,1717,-70624.72549019608,3,214.625,1.0,81.537565521258,36,0.004074505238649592,91
250000,17584,8,2198,-64028.41025641025,3,219.8,2.5,113.73976342129208,8,0.004092769440654843,8
143000,6810,5,1362,-13270.122448979586,2,227.0,1.5,104.99265785609398,14,0.003668378576669112,16
307000,13552,8,1694,81620.16279069768,2,211.75,2.0,181.22786304604486,2,0.004129793510324484,3
200000,14630,7,2090,10949.931506849302,2,261.25,2.5,95.69377990430623,36,0.003347680535628886,36
129900,12418,7,1774,1674.6991150442482,2,197.11111111111111,2.0,73.22435174746336,58,0.004507042253521127,77
118000,5385,5,1077,-6834.0517241379275,1,179.5,1.0,109.5636025998143,58,0.00463821892393321,69
129500,5200,5,1040,-7293.135135135148,1,173.33333333333334,1.0,124.51923076923077,43,0.004803073967339097,43
345000,20916,9,2324,28729.376623376622,3,193.66666666666666,3.0,148.4509466437177,0,0.004731182795698925,1
144000,4560,5,912,7206.864864864852,1,182.4,1.0,157.89473684210526,46,0.004381161007667032,46
279500,10458,7,1494,81534.22666666665,3,186.75,2.0,187.08165997322624,0,0.0046822742474916385,1
157000,7518,6,1253,11152.920000000013,1,208.83333333333334,1.5,125.29928172386273,48,0.003987240829346092,48
132000,5978,7,854,7165.9482758620725,2,142.33333333333334,1.0,154.56674473067915,6,0.005847953216374269,78
149000,6024,6,1004,3152.920000000013,2,167.33333333333334,1.0,148.40637450199202,40,0.004975124378109453,40
90000,5184,4,1296,-46793.13513513515,2,185.14285714285714,2.0,69.44444444444444,39,0.004626060138781804,39
159000,5570,5,1114,-27555.79661016949,2,159.14285714285714,1.5,142.72890484739676,4,0.0053811659192825115,4
139000,6695,5,1339,-6847.079999999987,1,191.28571428571428,1.0,103.80881254667662,44,0.004477611940298508,51
325300,19008,8,2376,9029.376623376622,3,237.6,3.5,136.91077441077442,0,0.0037862852334875894,1
139400,7756,7,1108,39276.21621621621,1,158.28571428571428,1.0,125.81227436823104,57,0.005410279531109108,77
230000,14360,8,1795,32034.226666666655,2,224.375,2.0,128.13370473537606,6,0.0038975501113585748,6
129900,5300,5,1060,31323.5294117647,2,151.42857142857142,1.0,122.54716981132076,31,0.005655042412818096,31
154000,5300,5,1060,17206.864864864852,1,151.42857142857142,1.0,145.28301886792454,9,0.005655042412818096,42
